Constant, Value, Description
IMAGE_REL_SH3_ABSOLUTE, 0x0000, "This relocation is ignored."
IMAGE_REL_SH3_DIRECT16, 0x0001, "Reference to the 16-bit location that contains the virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT32, 0x0002, "The target's 32-bit virtual address."
IMAGE_REL_SH3_DIRECT8, 0x0003, "Reference to the 8-bit location that contains the virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT8_WORD, 0x0004, "Reference to the 8-bit instruction that contains the effective 16-bit virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT8_LONG, 0x0005, "Reference to the 8-bit instruction that contains the effective 32-bit virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT4, 0x0006, "Reference to the 8-bit location whose low 4 bits contain the virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT4_WORD, 0x0007, "Reference to the 8-bit instruction whose low 4 bits contain the effective 16-bit virtual address of the target symbol."
IMAGE_REL_SH3_DIRECT4_LONG, 0x0008, "Reference to the 8-bit instruction whose low 4 bits contain the effective 32-bit virtual address of the target symbol."
IMAGE_REL_SH3_PCREL8_WORD, 0x0009, "Reference to the 8-bit instruction which contains the effective 16-bit relative offset of the target symbol."
IMAGE_REL_SH3_PCREL8_LONG, 0x000A, "Reference to the 8-bit instruction which contains the effective 32-bit relative offset of the target symbol."
IMAGE_REL_SH3_PCREL12_WORD, 0x000B, "Reference to the 16-bit instruction whose low 12 bits contain the effective 16-bit relative offset of the target symbol."
IMAGE_REL_SH3_STARTOF_SECTION, 0x000C, "Reference to a 32-bit location that is the virtual address of the symbol's section."
IMAGE_REL_SH3_SIZEOF_SECTION, 0x000D, "Reference to the 32-bit location that is the size of the symbol's section."
IMAGE_REL_SH3_SECTION, 0x000E, "The 16-bit section index of the section containing the target. This is used to support debugging information."
IMAGE_REL_SH3_SECREL, 0x000F, "The 32-bit offset of the target from the beginning of its section. This is used to support debugging information as well as static thread local storage."
IMAGE_REL_SH3_DIRECT32_NB, 0x0010, "The target's 32-bit relative virtual address."

