Constant, Value, Description
IMAGE_SYM_TYPE_NULL, 0, "No type information or unknown base type. Microsoft tools use this setting."
IMAGE_SYM_TYPE_VOID, 1, "No valid type; used with void pointers and functions."
IMAGE_SYM_TYPE_CHAR, 2, "Character (signed byte)."
IMAGE_SYM_TYPE_SHORT, 3, "Two-byte signed integer."
IMAGE_SYM_TYPE_INT, 4, "Natural integer type (normally four bytes in Windows NT)."
IMAGE_SYM_TYPE_LONG, 5, "Four-byte signed integer."
IMAGE_SYM_TYPE_FLOAT, 6, "Four-byte floating-point number."
IMAGE_SYM_TYPE_DOUBLE, 7, "Eight-byte floating-point number."
IMAGE_SYM_TYPE_STRUCT, 8, "Structure."
IMAGE_SYM_TYPE_UNION, 9, "Union."
IMAGE_SYM_TYPE_ENUM, 10, "Enumerated type."
IMAGE_SYM_TYPE_MOE, 11, "Member of enumeration (a specific value)."
IMAGE_SYM_TYPE_BYTE, 12, "Byte; unsigned one-byte integer."
IMAGE_SYM_TYPE_WORD, 13, "Word; unsigned two-byte integer."
IMAGE_SYM_TYPE_UINT, 14, "Unsigned integer of natural size (normally, four bytes)."
IMAGE_SYM_TYPE_DWORD, 15, "Unsigned four-byte integer."
